feature,importance
is_weekend,0.011116498913373449
voltage_rolling_std_5,0.00898873337103112
inter_event_gap_sec,0.00819189546014375
event_position,0.0069496262169189095
hour_of_day,0.0063301319315745876
power_zscore_station,0.005619126344582203
current_zscore_station,0.004945524713416399
voltage_zscore_station,0.004545389391452879
temperature_zscore_station,0.004384162957156156
temp_delta,0.004363833781576705
voltage_delta,0.004316991854908539
power_ratio,0.004290351780337022
power_delta,0.004123401988781249
energy_ratio,0.003522338040926172
error_code_binary,0.0007964910644737417
